iter	Passed	Remaining
1448	10841	4122
1449	10848	4114
1450	10855	4107
1451	10863	4100
1452	10871	4092
1453	10878	4084
1454	10885	4077
1455	10893	4070
1456	10901	4062
1457	10908	4054
1458	10915	4047
1459	10922	4039
1460	10930	4032
1461	10937	4025
1462	10945	4017
1463	10953	4010
1464	10960	4002
1465	10968	3995
1466	10975	3987
1467	10982	3980
1468	10990	3972
1469	10997	3965
1470	11005	3957
1471	11013	3950
1472	11020	3942
1473	11028	3935
1474	11036	3928
1475	11043	3920
1476	11050	3913
1477	11058	3905
1478	11065	3897
1479	11072	3890
1480	11080	3882
1481	11087	3875
1482	11094	3867
1483	11102	3860
1484	11109	3852
1485	11121	3846
1486	11128	3839
1487	11136	3831
1488	11143	3824
1489	11150	3816
1490	11157	3809
1491	11165	3801
1492	11173	3794
1493	11180	3786
1494	11187	3779
1495	11195	3771
1496	11202	3764
1497	11210	3756
1498	11217	3749
1499	11224	3741
1500	11232	3734
1501	11239	3726
1502	11247	3719
1503	11254	3711
1504	11262	3704
1505	11269	3696
1506	11277	3689
1507	11284	3681
1508	11291	3674
1509	11298	3666
1510	11306	3658
1511	11313	3651
1512	11321	3644
1513	11328	3636
1514	11336	3629
1515	11343	3621
1516	11350	3613
1517	11358	3606
1518	11365	3598
1519	11373	3591
1520	11380	3584
1521	11387	3576
1522	11395	3568
1523	11402	3561
1524	11409	3553
1525	11416	3546
1526	11423	3538
1527	11431	3531
1528	11438	3523
1529	11445	3515
1530	11452	3508
1531	11460	3500
1532	11468	3493
1533	11475	3486
1534	11484	3478
1535	11491	3471
1536	11498	3463
1537	11506	3456
1538	11514	3449
1539	11522	3441
1540	11529	3434
1541	11536	3426
1542	11543	3418
1543	11550	3411
1544	11558	3403
1545	11565	3396
1546	11573	3388
1547	11579	3381
1548	11587	3373
1549	11594	3366
1550	11602	3358
1551	11609	3351
1552	11616	3343
1553	11623	3336
1554	11631	3328
1555	11638	3321
1556	11646	3313
1557	11653	3305
1558	11661	3298
1559	11668	3291
1560	11676	3283
1561	11684	3276
1562	11692	3269
1563	11701	3261
1564	11708	3254
1565	11716	3247
1566	11723	3239
1567	11730	3231
1568	11738	3224
1569	11745	3216
1570	11753	3209
1571	11760	3202
1572	11769	3194
1573	11777	3187
1574	11784	3179
1575	11791	3172
1576	11800	3165
1577	11807	3157
1578	11816	3150
1579	11823	3142
1580	11830	3135
1581	11837	3127
1582	11845	3120
1583	11852	3112
1584	11859	3105
1585	11866	3097
1586	11873	3090
1587	11881	3082
1588	11888	3075
1589	11896	3067
1590	11903	3060
1591	11911	3052
1592	11918	3045
1593	11926	3037
1594	11933	3030
1595	11941	3022
1596	11948	3015
1597	11955	3007
1598	11962	3000
1599	11992	2998
1600	12005	2991
1601	12014	2984
1602	12022	2977
1603	12029	2969
1604	12037	2962
1605	12045	2955
1606	12052	2947
1607	12059	2939
1608	12067	2932
1609	12073	2924
1610	12081	2917
1611	12088	2909
1612	12096	2902
1613	12103	2894
1614	12115	2888
1615	12122	2880
1616	12129	2873
1617	12137	2865
